epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,261.604,0.84413,0.55179,1.03832,0.8423,0.84986,0.8787,0.71575,0.81534,0.6083,1.03504,0.00115077,0.00115077,0.00115077
61,266.218,0.84599,0.55813,1.05155,0.85671,0.87583,0.90471,0.74197,0.80649,0.58316,1.04725,0.00114606,0.00114606,0.00114606
62,270.806,0.8263,0.5395,1.03341,0.82286,0.88895,0.92222,0.75983,0.76443,0.5421,1.01667,0.00114134,0.00114134,0.00114134
63,275.431,0.83117,0.53025,1.03506,0.84358,0.83888,0.88559,0.72595,0.81718,0.57146,1.05753,0.00113663,0.00113663,0.00113663
64,280.033,0.84162,0.53307,1.05109,0.83786,0.832,0.8682,0.66042,0.85163,0.6132,1.07913,0.00113191,0.00113191,0.00113191
65,284.585,0.84106,0.55244,1.03679,0.84555,0.89851,0.91329,0.74028,0.89091,0.61114,1.09148,0.0011272,0.0011272,0.0011272
66,288.556,0.81432,0.53366,1.03515,0.90358,0.80922,0.90492,0.75367,0.73167,0.5636,1.01315,0.00112248,0.00112248,0.00112248
67,292.771,0.79443,0.5356,1.03051,0.80744,0.92341,0.90363,0.75441,0.74361,0.54745,1.02391,0.00111776,0.00111776,0.00111776
68,297.492,0.8362,0.53701,1.04143,0.86982,0.85421,0.90416,0.74444,0.78463,0.55761,1.05479,0.00111305,0.00111305,0.00111305
69,302.644,0.82371,0.52384,1.03664,0.78791,0.87881,0.89165,0.74499,0.75219,0.55605,1.04873,0.00110833,0.00110833,0.00110833
70,307.679,0.827,0.52538,1.03913,0.82664,0.88659,0.88759,0.72535,0.79605,0.56541,1.05737,0.00110362,0.00110362,0.00110362
71,312.081,0.83188,0.53558,1.03715,0.88412,0.79991,0.90361,0.76911,0.77661,0.54723,1.0326,0.0010989,0.0010989,0.0010989
72,316.53,0.81165,0.51962,1.02619,0.80976,0.88683,0.8996,0.74909,0.73282,0.5325,1.0233,0.00109419,0.00109419,0.00109419
73,320.772,0.82914,0.52801,1.03136,0.88236,0.86554,0.90681,0.75448,0.75545,0.5492,1.0254,0.00108947,0.00108947,0.00108947
74,325.054,0.82596,0.53729,1.03027,0.85812,0.88796,0.90574,0.7442,0.80278,0.55573,1.05472,0.00108475,0.00108475,0.00108475
75,329.138,0.82241,0.52415,1.03322,0.81158,0.94395,0.92768,0.77631,0.77887,0.51798,1.03348,0.00108004,0.00108004,0.00108004
76,333.231,0.80679,0.52071,1.01599,0.85279,0.80503,0.87998,0.724,0.84589,0.58646,1.06477,0.00107532,0.00107532,0.00107532
77,337.388,0.83241,0.5384,1.04453,0.8849,0.88783,0.9314,0.77913,0.80161,0.54053,1.03568,0.00107061,0.00107061,0.00107061
78,341.532,0.81143,0.51831,1.03392,0.84839,0.87586,0.89872,0.74769,0.79328,0.5626,1.04337,0.00106589,0.00106589,0.00106589
79,345.705,0.80431,0.52747,1.02709,0.8552,0.88196,0.90338,0.75436,0.78228,0.53329,1.04407,0.00106118,0.00106118,0.00106118
80,350.483,0.85308,0.52703,1.05305,0.84712,0.92023,0.91255,0.76042,0.81616,0.53048,1.06357,0.00105646,0.00105646,0.00105646
81,355.178,0.78369,0.498,1.01779,0.88171,0.84215,0.91455,0.76034,0.75651,0.53482,1.04436,0.00105174,0.00105174,0.00105174
82,359.974,0.7751,0.49537,1.00846,0.82794,0.91893,0.91661,0.75261,0.76612,0.51174,1.05076,0.00104703,0.00104703,0.00104703
83,364.574,0.78692,0.50284,1.02206,0.8364,0.91625,0.92131,0.75787,0.77281,0.52543,1.05508,0.00104231,0.00104231,0.00104231
84,369.15,0.82035,0.5323,1.02897,0.83668,0.86018,0.89909,0.73909,0.76623,0.54179,1.05356,0.0010376,0.0010376,0.0010376
85,373.705,0.8159,0.50951,1.03144,0.8382,0.91833,0.92145,0.74242,0.77494,0.51917,1.0525,0.00103288,0.00103288,0.00103288
86,378.405,0.79927,0.51428,1.02868,0.83205,0.87719,0.89539,0.75382,0.75568,0.5187,1.0383,0.00102817,0.00102817,0.00102817
